Year,Donor Types,Age Groups,All States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
2009,All Donor Types,35-49 Years,"8,704",136,183,60,975,110,80,8,133,497,226,22,335,168,65,72,82,164,23,222,248,280,244,30,211,78,13,29,197,25,615,282,18,374,59,94,542,23,29,85,16,249,649,76,6,250,182,8,231
2009,All Donor Types,50-64 Years,"6,442",105,111,29,633,78,66,7,66,396,140,23,288,87,39,33,63,97,18,231,226,227,204,11,158,59,6,11,161,27,555,174,12,305,43,83,511,18,7,39,13,166,443,42,7,151,99,13,161
2009,All Donor Types,65 +,"1,000",19,10,4,74,14,2,0,12,85,22,1,37,3,5,14,3,10,0,60,42,32,37,0,31,10,0,0,20,1,148,28,3,20,12,8,99,6,3,10,2,11,43,2,5,31,9,0,12
2009,Deceased Donor,All Donor Ages,"21,854",279,372,144,"2,324",313,146,18,276,"1,598",564,49,853,431,160,220,249,425,37,558,557,711,501,81,641,257,41,35,394,73,"1,349",795,23,892,185,218,"1,660",83,34,225,36,654,"1,669",188,26,536,404,30,540
2009,Deceased Donor,< 1 Year,343,1,6,9,58,2,1,1,13,37,5,0,8,9,1,0,2,0,0,4,4,10,4,0,11,47,0,0,4,0,20,1,0,7,0,0,27,0,0,1,0,12,16,2,0,3,10,0,7
2009,Deceased Donor,1-5 Years,603,5,7,6,63,6,2,4,18,49,17,0,17,13,6,3,2,7,1,11,17,23,11,8,19,21,0,0,8,0,42,11,0,23,5,1,45,1,0,12,0,20,68,2,2,6,11,0,10
2009,Deceased Donor,6-10 Years,433,4,12,2,59,4,1,1,7,29,14,0,11,21,5,2,2,11,2,13,10,13,12,6,18,4,0,0,0,2,23,8,0,13,4,0,39,0,2,7,0,6,33,14,2,6,6,0,5
2009,Deceased Donor,11-17 Years,"1,730",18,24,7,181,35,14,1,21,135,40,4,60,60,15,16,17,26,2,26,42,82,37,7,55,13,6,1,21,6,66,67,0,90,15,20,87,12,2,24,1,76,162,15,2,40,43,3,33
2009,Deceased Donor,18-34 Years,"7,177",87,156,44,791,148,44,2,89,508,193,12,319,150,55,96,96,159,10,128,162,194,181,21,216,66,19,10,122,25,302,297,9,283,72,75,542,29,9,70,9,185,599,80,8,174,134,10,187
2009,Deceased Donor,35-49 Years,"5,866",81,97,49,651,61,42,2,80,398,165,16,203,121,41,61,68,136,12,154,138,188,127,29,176,50,11,16,104,20,364,226,8,230,40,55,395,18,16,67,13,200,420,44,2,162,132,7,170
2009,Deceased Donor,50-64 Years,"4,809",65,63,23,460,44,41,7,39,358,108,17,202,54,32,28,59,76,10,168,145,170,99,10,120,48,5,8,116,20,404,158,3,229,37,62,431,18,2,35,11,145,335,29,5,118,63,10,119
2009,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Deceased Donor,65 +,893,18,7,4,61,13,1,0,9,84,22,0,33,3,5,14,3,10,0,54,39,31,30,0,26,8,0,0,19,0,128,27,3,17,12,5,94,5,3,9,2,10,36,2,5,27,5,0,9
2009,Living Donor,All Donor Ages,"6,609",132,218,29,734,120,82,7,113,205,135,15,374,134,53,23,34,74,24,173,243,216,303,2,113,58,4,22,191,23,590,113,24,315,40,86,349,11,19,33,11,122,521,81,7,177,114,5,137
2009,Living Donor,1-5 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,Living Donor,18-34 Years,"2,030",36,81,12,224,36,18,1,30,67,42,2,152,54,22,7,16,25,5,36,49,66,74,0,35,17,1,6,52,10,168,40,5,92,15,23,116,5,1,10,6,51,177,36,1,52,24,1,31
2009,Living Donor,35-49 Years,"2,838",55,86,11,324,49,38,6,53,99,61,6,132,47,24,11,14,28,11,68,110,92,117,1,35,28,2,13,93,5,251,56,10,144,19,39,147,5,13,18,3,49,229,32,4,88,50,1,61
2009,Living Donor,50-64 Years,"1,633",40,48,6,173,34,25,0,27,38,32,6,86,33,7,5,4,21,8,63,81,57,105,1,38,11,1,3,45,7,151,16,9,76,6,21,80,0,5,4,2,21,108,13,2,33,36,3,42
2009,Living Donor,65 +,107,1,3,0,13,1,1,0,3,1,0,1,4,0,0,0,0,0,0,6,3,1,7,0,5,2,0,0,1,1,20,1,0,3,0,3,5,1,0,1,0,1,7,0,0,4,4,0,3
2008,All Donor Types,All Donor Ages,"27,967",428,601,158,"3,261",399,240,29,319,"1,921",622,70,"1,208",530,174,233,283,449,46,599,708,909,814,96,704,288,44,48,576,82,"1,949",876,43,"1,185",206,275,"1,996",104,42,276,33,658,"2,166",260,46,701,533,45,734
2008,All Donor Types,< 1 Year,317,3,2,9,43,2,0,0,10,39,4,0,4,10,0,0,0,1,0,2,14,5,3,0,11,54,0,0,2,0,17,4,0,12,1,0,28,0,0,0,1,1,19,4,1,0,6,0,5
2008,All Donor Types,1-5 Years,620,5,19,11,99,8,3,3,13,66,9,0,21,5,0,5,2,10,0,7,18,8,8,0,16,29,0,0,4,0,38,16,0,27,1,1,58,0,0,1,1,15,56,3,0,5,11,0,18
2008,All Donor Types,6-10 Years,381,11,10,4,43,3,3,0,1,37,16,0,11,11,9,3,0,5,0,6,2,15,8,2,11,2,0,0,6,0,26,13,0,12,2,2,24,0,0,2,0,12,46,1,0,4,12,0,6
2008,All Donor Types,11-17 Years,"1,717",46,39,8,193,44,12,3,23,125,53,1,75,50,16,16,11,25,1,23,42,49,36,11,58,8,6,2,33,5,84,61,1,76,17,15,107,13,2,37,1,54,126,13,2,42,21,1,30
2008,All Donor Types,18-34 Years,"9,498",155,209,63,"1,168",140,80,8,130,693,215,16,442,197,61,96,106,168,11,166,196,310,256,38,280,61,21,18,144,35,506,305,12,354,85,71,619,53,12,88,7,238,846,113,16,250,223,19,198
2008,All Donor Types,35-49 Years,"8,326",109,165,40,956,123,79,7,93,479,174,27,329,148,45,59,96,121,22,202,258,276,281,23,201,81,14,18,216,21,614,258,16,409,54,95,588,19,13,93,9,183,604,90,14,210,138,16,240
2008,All Donor Types,50-64 Years,"6,094",82,141,21,677,75,54,8,36,399,142,24,274,104,38,48,63,115,11,150,140,224,175,22,106,45,3,9,150,19,509,185,11,258,37,83,476,15,11,49,10,145,410,32,9,161,119,9,210
2008,All Donor Types,65 +,"1,014",17,16,2,82,4,9,0,13,83,9,2,52,5,5,6,5,4,1,43,38,22,47,0,21,8,0,1,21,2,155,34,3,37,9,8,96,4,4,6,4,10,59,4,4,29,3,0,27
2008,Deceased Donor,All Donor Ages,"21,749",328,430,142,"2,522",273,182,20,228,"1,716",504,54,869,430,135,203,247,382,23,443,477,692,468,93,597,236,39,30,419,59,"1,361",761,28,885,180,182,"1,683",85,19,240,25,557,"1,747",179,29,517,419,33,578
2008,Deceased Donor,< 1 Year,317,3,2,9,43,2,0,0,10,39,4,0,4,10,0,0,0,1,0,2,14,5,3,0,11,54,0,0,2,0,17,4,0,12,1,0,28,0,0,0,1,1,19,4,1,0,6,0,5
2008,Deceased Donor,1-5 Years,620,5,19,11,99,8,3,3,13,66,9,0,21,5,0,5,2,10,0,7,18,8,8,0,16,29,0,0,4,0,38,16,0,27,1,1,58,0,0,1,1,15,56,3,0,5,11,0,18
2008,Deceased Donor,6-10 Years,381,11,10,4,43,3,3,0,1,37,16,0,11,11,9,3,0,5,0,6,2,15,8,2,11,2,0,0,6,0,26,13,0,12,2,2,24,0,0,2,0,12,46,1,0,4,12,0,6
2008,Deceased Donor,11-17 Years,"1,717",46,39,8,193,44,12,3,23,125,53,1,75,50,16,16,11,25,1,23,42,49,36,11,58,8,6,2,33,5,84,61,1,76,17,15,107,13,2,37,1,54,126,13,2,42,21,1,30
2008,Deceased Donor,18-34 Years,"7,529",123,144,56,919,102,59,4,93,631,182,12,306,160,50,85,96,136,9,135,136,240,163,37,251,44,19,13,105,26,325,270,7,268,77,49,528,43,7,76,5,204,693,77,8,183,189,14,170
2008,Deceased Donor,35-49 Years,"5,638",60,109,34,641,68,55,4,53,380,119,21,193,108,28,48,76,94,11,134,144,193,126,21,153,63,11,9,146,15,358,212,9,267,44,55,441,13,2,74,4,133,437,57,8,140,93,9,165
2008,Deceased Donor,50-64 Years,"4,623",64,92,18,516,42,42,6,22,357,114,18,209,82,27,40,57,107,2,99,86,162,85,22,78,30,3,5,104,11,366,152,8,192,29,56,404,12,4,45,9,129,319,21,6,116,86,9,160
2008,Deceased Donor,65 +,924,16,15,2,68,4,8,0,13,81,7,2,50,4,5,6,5,4,0,37,35,20,39,0,19,6,0,1,19,2,147,33,3,31,9,4,93,4,4,5,4,9,51,3,4,27,1,0,24
2008,Deceased Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Living Donor,All Donor Ages,"6,218",100,171,16,739,126,58,9,91,205,118,16,339,100,39,30,36,67,23,156,231,217,346,3,107,52,5,18,157,23,588,115,15,300,26,93,313,19,23,36,8,101,419,81,17,184,114,12,156
2008,Living Donor,18-34 Years,"1,969",32,65,7,249,38,21,4,37,62,33,4,136,37,11,11,10,32,2,31,60,70,93,1,29,17,2,5,39,9,181,35,5,86,8,22,91,10,5,12,2,34,153,36,8,67,34,5,28
2008,Living Donor,35-49 Years,"2,688",49,56,6,315,55,24,3,40,99,55,6,136,40,17,11,20,27,11,68,114,83,155,2,48,18,3,9,70,6,256,46,7,142,10,40,147,6,11,19,5,50,167,33,6,70,45,7,75
2008,Living Donor,50-64 Years,"1,471",18,49,3,161,33,12,2,14,42,28,6,65,22,11,8,6,8,9,51,54,62,90,0,28,15,0,4,46,8,143,33,3,66,8,27,72,3,7,4,1,16,91,11,3,45,33,0,50
2008,Living Donor,65 +,90,1,1,0,14,0,1,0,0,2,2,0,2,1,0,0,0,0,1,6,3,2,8,0,2,2,0,0,2,0,8,1,0,6,0,4,3,0,0,1,0,1,8,1,0,2,2,0,3
2007,All Donor Types,All Donor Ages,"28,366",476,607,171,"3,297",399,179,30,278,"1,891",649,58,"1,137",562,156,191,285,492,60,669,735,863,844,111,740,337,65,59,585,72,"2,079",788,45,"1,235",216,286,"2,055",113,50,278,46,680,"2,165",281,41,679,546,48,737
2007,All Donor Types,< 1 Year,329,3,0,3,45,6,0,1,23,30,4,0,5,7,2,0,0,0,0,3,10,6,3,0,15,40,0,0,2,0,30,3,0,9,0,0,37,0,0,1,1,2,26,2,0,4,4,0,2
2007,All Donor Types,1-5 Years,500,2,6,6,85,5,2,4,9,59,6,0,7,10,7,2,0,5,0,3,12,6,6,0,10,27,0,0,11,0,42,8,0,16,1,2,47,0,0,3,2,6,42,3,1,11,16,2,8
2007,All Donor Types,6-10 Years,410,12,2,5,38,9,0,1,4,37,6,0,9,6,4,3,0,11,1,7,4,8,13,4,19,21,0,0,5,0,18,16,0,19,2,2,30,0,0,6,0,22,36,3,1,9,4,2,11
2007,All Donor Types,11-17 Years,"1,950",34,33,15,246,49,11,3,18,156,54,4,80,76,12,23,35,52,4,31,38,58,64,20,58,29,3,4,27,6,75,45,1,77,13,14,107,12,2,26,5,44,157,13,1,38,44,1,32
2007,All Donor Types,18-34 Years,"9,635",187,246,61,"1,153",158,50,8,75,644,248,15,420,224,55,69,84,181,20,180,271,275,269,44,252,81,24,19,175,17,583,270,6,490,82,88,642,39,19,106,14,242,785,129,11,215,191,21,197
2007,All Donor Types,35-49 Years,"8,639",147,188,47,982,106,69,7,82,550,200,14,338,159,49,49,99,147,17,225,219,299,268,35,215,74,31,21,188,27,614,239,22,375,61,95,624,33,23,83,11,209,641,75,13,218,181,15,255
2007,All Donor Types,50-64 Years,"5,858",81,111,32,673,61,36,6,54,325,124,22,232,71,21,41,60,85,17,177,147,185,191,8,142,61,6,15,138,18,575,173,14,218,52,80,450,25,6,52,12,137,401,54,14,160,93,7,195
2007,All Donor Types,65 +,"1,045",10,21,2,75,5,11,0,13,90,7,3,46,9,6,4,7,11,1,43,34,26,30,0,29,4,1,0,39,4,142,34,2,31,5,5,118,4,0,1,1,18,77,2,0,24,13,0,37
2007,Deceased Donor,All Donor Ages,"22,053",339,420,149,"2,572",285,120,19,191,"1,691",522,46,798,470,124,173,241,403,36,510,489,636,483,108,594,272,53,34,402,54,"1,535",668,25,913,191,203,"1,722",104,26,239,33,558,"1,824",188,25,499,442,39,585
2007,Deceased Donor,< 1 Year,329,3,0,3,45,6,0,1,23,30,4,0,5,7,2,0,0,0,0,3,10,6,3,0,15,40,0,0,2,0,30,3,0,9,0,0,37,0,0,1,1,2,26,2,0,4,4,0,2
2007,Deceased Donor,1-5 Years,500,2,6,6,85,5,2,4,9,59,6,0,7,10,7,2,0,5,0,3,12,6,6,0,10,27,0,0,11,0,42,8,0,16,1,2,47,0,0,3,2,6,42,3,1,11,16,2,8
2007,Deceased Donor,6-10 Years,409,12,2,5,38,9,0,1,4,37,6,0,9,6,4,3,0,11,1,7,4,8,13,4,19,21,0,0,5,0,18,16,0,19,2,2,29,0,0,6,0,22,36,3,1,9,4,2,11
2007,Deceased Donor,11-17 Years,"1,949",34,33,15,246,49,11,3,18,156,54,4,80,76,12,23,35,52,4,31,38,58,64,20,58,29,3,4,27,6,75,45,1,77,13,14,106,12,2,26,5,44,157,13,1,38,44,1,32
2007,Deceased Donor,18-34 Years,"7,648",137,183,49,901,124,35,5,38,578,206,10,275,193,49,64,73,146,13,142,196,212,182,42,209,67,21,13,123,16,419,236,4,388,74,69,546,38,12,93,8,191,657,94,9,157,169,20,162
2007,Deceased Donor,35-49 Years,"5,850",87,113,40,679,52,42,1,47,466,148,10,208,118,30,40,73,110,7,148,115,189,109,34,151,46,23,12,114,16,386,179,11,229,52,53,464,27,6,64,7,155,501,36,5,135,125,11,176
2007,Deceased Donor,50-64 Years,"4,403",54,65,30,511,36,23,4,39,277,91,19,168,51,14,37,53,68,10,137,81,137,83,8,105,38,6,5,85,13,430,149,8,146,44,62,378,23,6,45,9,121,335,35,8,124,70,3,159
2007,Deceased Donor,65 +,965,10,18,1,67,4,7,0,13,88,7,3,46,9,6,4,7,11,1,39,33,20,23,0,27,4,0,0,35,3,135,32,1,29,5,1,115,4,0,1,1,17,70,2,0,21,10,0,35
2007,Living Donor,All Donor Ages,"6,313",137,187,22,725,114,59,11,87,200,127,12,339,92,32,18,44,89,24,159,246,227,361,3,146,65,12,25,183,18,544,120,20,322,25,83,333,9,24,39,13,122,341,93,16,180,104,9,152
2007,Living Donor,6-10 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Living Donor,11-17 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,Living Donor,18-34 Years,"1,987",50,63,12,252,34,15,3,37,66,42,5,145,31,6,5,11,35,7,38,75,63,87,2,43,14,3,6,52,1,164,34,2,102,8,19,96,1,7,13,6,51,128,35,2,58,22,1,35
2007,Living Donor,35-49 Years,"2,789",60,75,7,303,54,27,6,35,84,52,4,130,41,19,9,26,37,10,77,104,110,159,1,64,28,8,9,74,11,228,60,11,146,9,42,160,6,17,19,4,54,140,39,8,83,56,4,79
2007,Living Donor,50-64 Years,"1,455",27,46,2,162,25,13,2,15,48,33,3,64,20,7,4,7,17,7,40,66,48,108,0,37,23,0,10,53,5,145,24,6,72,8,18,72,2,0,7,3,16,66,19,6,36,23,4,36
2007,Living Donor,65 +,80,0,3,1,8,1,4,0,0,2,0,0,0,0,0,0,0,0,0,4,1,6,7,0,2,0,1,0,4,1,7,2,1,2,0,4,3,0,0,0,0,1,7,0,0,3,3,0,2
2006,All Donor Types,All Donor Ages,"28,941",493,511,183,"3,311",405,178,14,348,"1,789",624,67,"1,331",524,157,168,286,416,76,697,765,928,929,16,774,335,69,56,534,78,"2,274",776,58,"1,294",198,325,"2,250",88,69,291,49,724,"2,052",290,50,744,521,59,767
2006,All Donor Types,< 1 Year,284,0,0,4,22,5,0,0,25,48,4,0,6,1,0,0,0,1,0,2,8,3,3,0,8,20,0,0,1,0,25,8,0,14,2,0,33,0,0,0,0,4,18,2,0,1,6,0,10
2006,All Donor Types,1-5 Years,558,5,1,3,89,4,3,4,6,50,6,0,17,12,2,2,1,8,0,4,8,12,14,0,11,13,0,0,9,0,63,7,0,19,3,5,68,3,0,4,2,6,58,4,0,7,13,0,12
2006,All Donor Types,6-10 Years,382,2,4,2,41,1,0,0,9,24,13,0,15,11,3,5,1,8,0,4,2,10,7,0,16,4,0,1,0,2,23,23,3,17,4,5,38,1,3,2,1,13,42,5,0,2,5,3,7
2006,All Donor Types,11-17 Years,"2,031",39,41,5,234,39,12,2,25,116,57,6,82,45,13,17,36,43,3,51,41,49,67,1,89,32,7,4,24,6,98,66,2,61,15,19,133,8,4,45,4,67,152,32,5,41,40,3,50
2006,All Donor Types,18-34 Years,"9,699",203,207,72,"1,240",144,49,7,110,603,244,15,458,189,43,72,94,131,22,202,214,305,281,6,268,80,32,8,146,32,604,297,10,454,82,126,644,41,26,130,8,263,767,122,15,245,160,19,209
2006,All Donor Types,35-49 Years,"9,042",160,170,55,"1,022",125,65,1,95,510,177,16,405,161,68,47,82,137,27,239,258,310,312,8,242,105,27,22,198,27,717,232,27,384,40,102,706,18,15,70,20,236,612,78,19,268,154,20,253
2006,All Donor Types,50-64 Years,"5,865",77,83,41,586,83,42,0,61,348,109,26,303,100,25,23,60,77,24,165,188,206,212,1,123,70,3,17,140,11,548,126,14,294,45,56,502,15,19,37,10,121,339,44,9,156,131,13,182
2006,All Donor Types,65 +,"1,080",7,5,1,77,4,7,0,17,90,14,4,45,5,3,2,12,11,0,30,46,33,33,0,17,11,0,4,16,0,196,17,2,51,7,12,126,2,2,3,4,14,64,3,2,24,12,1,44
2006,Deceased Donor,All Donor Ages,"22,208",325,334,152,"2,636",280,124,10,252,"1,566",514,52,905,417,118,146,260,353,49,486,522,679,534,16,640,259,56,38,363,57,"1,732",652,32,888,181,246,"1,860",74,38,258,31,578,"1,696",190,38,536,408,44,583
2006,Deceased Donor,< 1 Year,282,0,0,4,22,5,0,0,25,48,4,0,6,1,0,0,0,1,0,2,8,3,3,0,8,20,0,0,1,0,25,8,0,13,1,0,33,0,0,0,0,4,18,2,0,1,6,0,10
2006,Deceased Donor,1-5 Years,558,5,1,3,89,4,3,4,6,50,6,0,17,12,2,2,1,8,0,4,8,12,14,0,11,13,0,0,9,0,63,7,0,19,3,5,68,3,0,4,2,6,58,4,0,7,13,0,12
2006,Deceased Donor,6-10 Years,382,2,4,2,41,1,0,0,9,24,13,0,15,11,3,5,1,8,0,4,2,10,7,0,16,4,0,1,0,2,23,23,3,17,4,5,38,1,3,2,1,13,42,5,0,2,5,3,7
2006,Deceased Donor,11-17 Years,"2,030",39,41,5,234,39,12,2,25,116,57,6,82,45,13,17,36,43,3,51,41,49,66,1,89,32,7,4,24,6,98,66,2,61,15,19,133,8,4,45,4,67,152,32,5,41,40,3,50
2006,Deceased Donor,18-34 Years,"7,518",147,147,63,"1,009",116,38,4,76,539,207,9,289,149,34,66,89,109,17,147,152,226,166,6,225,59,25,2,98,26,419,253,7,312,75,104,519,34,17,110,4,205,652,75,11,173,134,16,158
2006,Deceased Donor,35-49 Years,"5,998",79,94,39,703,58,36,0,50,396,122,12,224,113,48,38,63,106,17,151,156,202,149,8,180,71,22,15,116,15,485,170,13,200,33,63,523,14,4,62,9,181,446,44,12,175,102,10,169
2006,Deceased Donor,50-64 Years,"4,432",48,45,35,467,53,28,0,44,304,91,21,228,81,15,16,58,67,12,104,117,147,105,1,96,49,2,12,100,8,433,109,5,217,43,41,422,12,10,32,7,88,265,25,9,113,98,11,138
2006,Deceased Donor,65 +,"1,008",5,2,1,71,4,7,0,17,89,14,4,44,5,3,2,12,11,0,23,38,30,24,0,15,11,0,4,15,0,186,16,2,49,7,9,124,2,0,3,4,14,63,3,1,24,10,1,39
2006,Living Donor,All Donor Ages,"6,733",168,177,31,675,125,54,4,96,223,110,15,426,107,39,22,26,63,27,211,243,249,395,0,134,76,13,18,171,21,542,124,26,406,17,79,390,14,31,33,18,146,356,100,12,208,113,15,184
2006,Living Donor,< 1 Year,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Living Donor,11-17 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Living Donor,18-34 Years,"2,181",56,60,9,231,28,11,3,34,64,37,6,169,40,9,6,5,22,5,55,62,79,115,0,43,21,7,6,48,6,185,44,3,142,7,22,125,7,9,20,4,58,115,47,4,72,26,3,51
2006,Living Donor,35-49 Years,"3,044",81,76,16,319,67,29,1,45,114,55,4,181,48,20,9,19,31,10,88,102,108,163,0,62,34,5,7,82,12,232,62,14,184,7,39,183,4,11,8,11,55,166,34,7,93,52,10,84
2006,Living Donor,50-64 Years,"1,433",29,38,6,119,30,14,0,17,44,18,5,75,19,10,7,2,10,12,61,71,59,107,0,27,21,1,5,40,3,115,17,9,77,2,15,80,3,9,5,3,33,74,19,0,43,33,2,44
2006,Living Donor,65 +,72,2,3,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,8,3,9,0,2,0,0,0,1,0,10,1,0,2,0,3,2,0,2,0,0,0,1,0,1,0,2,0,5
2005,All Donor Types,All Donor Ages,"28,119",493,498,185,"3,245",436,179,15,318,"1,856",561,86,"1,296",621,169,155,319,475,53,627,731,891,974,22,670,257,66,42,589,68,"2,043",783,58,"1,222",225,290,"2,110",125,76,229,63,620,"1,999",238,38,685,554,50,814
2005,All Donor Types,< 1 Year,215,0,0,4,23,4,0,0,3,39,3,0,1,6,1,0,2,2,0,1,5,5,5,0,8,21,0,0,1,0,11,1,0,12,2,0,31,0,0,2,0,6,8,1,0,1,3,0,3
2005,All Donor Types,1-5 Years,513,8,3,4,73,8,2,3,11,52,6,0,26,14,8,1,1,5,0,9,6,14,5,0,14,31,0,0,3,0,33,8,0,21,3,0,56,1,1,1,2,10,39,5,0,3,12,1,10
2005,All Donor Types,6-10 Years,334,4,3,4,48,3,0,0,1,26,3,0,5,16,1,6,2,3,0,5,12,22,7,1,19,1,1,0,1,4,9,12,0,14,2,0,26,1,0,2,1,6,29,12,0,4,7,1,10
2005,All Donor Types,11-17 Years,"2,036",39,58,13,207,50,17,5,10,161,57,4,75,60,6,11,23,49,5,39,60,39,54,4,72,19,8,1,22,3,77,73,4,70,21,6,126,13,3,25,2,56,209,16,1,55,49,5,54
2005,All Donor Types,18-34 Years,"9,463",175,210,66,"1,186",159,53,5,131,653,196,25,486,199,57,57,123,157,10,194,198,311,304,14,244,69,33,10,163,19,555,270,11,364,93,97,661,53,25,91,12,246,725,90,15,229,166,17,236
2005,All Donor Types,35-49 Years,"8,846",161,144,59,"1,053",153,58,2,90,460,195,30,408,199,52,60,101,148,25,200,232,306,361,1,184,52,20,21,190,23,647,220,25,451,58,116,653,30,29,76,18,178,548,86,8,230,170,17,298
2005,All Donor Types,50-64 Years,"5,677",97,66,34,551,56,46,0,67,370,89,26,243,117,40,20,59,102,10,144,176,171,203,2,110,59,4,10,174,18,537,186,15,245,39,69,456,26,16,30,19,106,364,24,12,146,138,9,176
2005,All Donor Types,65 +,"1,035",9,14,1,104,3,3,0,5,95,12,1,52,10,4,0,8,9,3,35,42,23,35,0,19,5,0,0,35,1,174,13,3,45,7,2,101,1,2,2,9,12,77,4,2,17,9,0,27
2005,Deceased Donor,All Donor Ages,"21,214",317,336,147,"2,538",312,137,11,223,"1,628",446,53,898,545,123,130,270,405,34,431,499,611,542,22,527,197,46,25,391,51,"1,456",628,32,823,201,195,"1,734",103,42,197,39,458,"1,659",172,24,465,426,33,632
2005,Deceased Donor,< 1 Year,215,0,0,4,23,4,0,0,3,39,3,0,1,6,1,0,2,2,0,1,5,5,5,0,8,21,0,0,1,0,11,1,0,12,2,0,31,0,0,2,0,6,8,1,0,1,3,0,3
2005,Deceased Donor,1-5 Years,513,8,3,4,73,8,2,3,11,52,6,0,26,14,8,1,1,5,0,9,6,14,5,0,14,31,0,0,3,0,33,8,0,21,3,0,56,1,1,1,2,10,39,5,0,3,12,1,10
2005,Deceased Donor,6-10 Years,334,4,3,4,48,3,0,0,1,26,3,0,5,16,1,6,2,3,0,5,12,22,7,1,19,1,1,0,1,4,9,12,0,14,2,0,26,1,0,2,1,6,29,12,0,4,7,1,10
2005,Deceased Donor,11-17 Years,"2,036",39,58,13,207,50,17,5,10,161,57,4,75,60,6,11,23,49,5,39,60,39,54,4,72,19,8,1,22,3,77,73,4,70,21,6,126,13,3,25,2,56,209,16,1,55,49,5,54
2005,Deceased Donor,18-34 Years,"7,240",119,154,57,931,119,45,3,95,586,154,15,298,173,43,51,106,132,6,140,138,228,189,14,191,48,23,9,104,16,358,215,5,235,85,73,554,45,16,85,7,173,604,68,12,169,143,11,195
2005,Deceased Donor,35-49 Years,"5,601",74,64,44,740,92,40,0,50,356,140,20,239,164,29,46,80,110,13,110,117,159,138,1,123,25,12,10,99,13,385,159,13,245,47,73,463,18,14,57,4,118,402,53,2,119,105,11,205
2005,Deceased Donor,50-64 Years,"4,298",64,41,20,418,34,30,0,48,313,73,13,203,102,31,15,48,95,7,98,120,123,117,2,82,47,2,5,127,14,417,148,8,182,34,42,380,24,7,24,14,79,294,13,7,102,99,4,128
2005,Deceased Donor,65 +,977,9,13,1,98,2,3,0,5,95,10,1,51,10,4,0,8,9,3,29,41,21,27,0,18,5,0,0,34,1,166,12,2,44,7,1,98,1,1,1,9,10,74,4,2,12,8,0,27
2005,Living Donor,All Donor Ages,"6,905",176,162,38,707,124,42,4,95,228,115,33,398,76,46,25,49,70,19,196,232,280,432,0,143,60,20,17,198,17,587,155,26,399,24,95,376,22,34,32,24,162,340,66,14,220,128,17,182
2005,Living Donor,18-34 Years,"2,223",56,56,9,255,40,8,2,36,67,42,10,188,26,14,6,17,25,4,54,60,83,115,0,53,21,10,1,59,3,197,55,6,129,8,24,107,8,9,6,5,73,121,22,3,60,23,6,41
2005,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Living Donor,35-49 Years,"3,245",87,80,15,313,61,18,2,40,104,55,10,169,35,23,14,21,38,12,90,115,147,223,0,61,27,8,11,91,10,262,61,12,206,11,43,190,12,15,19,14,60,146,33,6,111,65,6,93
2005,Living Donor,50-64 Years,"1,379",33,25,14,133,22,16,0,19,57,16,13,40,15,9,5,11,7,3,46,56,48,86,0,28,12,2,5,47,4,120,38,7,63,5,27,76,2,9,6,5,27,70,11,5,44,39,5,48
